id,task_name,status,created_at,updated_at
fa803089,Rozmowa telefoniczna #1,done,2025-12-12T10:02:57.677785,2025-12-12T10:03:30.848317
a5b86940,Rozmowa telefoniczna #2,done,2025-12-12T10:02:57.678371,2025-12-12T10:03:35.857025
e14a4237,Rozmowa telefoniczna #3,done,2025-12-12T10:02:57.678805,2025-12-12T10:03:40.865195
03fa2357,Rozmowa telefoniczna #4,done,2025-12-12T10:02:57.679271,2025-12-12T10:03:45.873986
b69aae24,Rozmowa telefoniczna #5,done,2025-12-12T10:02:57.679904,2025-12-12T10:03:50.882915
5e4a86c6,Rozmowa telefoniczna #6,done,2025-12-12T10:02:57.680584,2025-12-12T10:03:55.892892
d30cbf1a,Rozmowa telefoniczna #7,done,2025-12-12T10:02:57.681282,2025-12-12T10:04:00.901429
a4a14a3b,Rozmowa telefoniczna #8,done,2025-12-12T10:02:57.681937,2025-12-12T10:04:03.501516
a38559ad,Rozmowa telefoniczna #9,done,2025-12-12T10:02:57.682855,2025-12-12T10:04:05.910623
a1aba0bd,Rozmowa telefoniczna #10,done,2025-12-12T10:02:57.683550,2025-12-12T10:04:08.510136
13b199c8,Rozmowa telefoniczna #11,done,2025-12-12T10:02:57.684239,2025-12-12T10:04:10.918658
b64c3e9c,Rozmowa telefoniczna #12,done,2025-12-12T10:02:57.684810,2025-12-12T10:04:13.519121
b3001a29,Rozmowa telefoniczna #13,done,2025-12-12T10:02:57.685359,2025-12-12T10:04:15.928974
9c1ae806,Rozmowa telefoniczna #14,done,2025-12-12T10:02:57.685912,2025-12-12T10:04:18.528766
f16efe4e,Rozmowa telefoniczna #15,done,2025-12-12T10:02:57.686540,2025-12-12T10:04:20.136924
e1dcf57f,Rozmowa telefoniczna #16,done,2025-12-12T10:02:57.687358,2025-12-12T10:04:20.937766
54e23372,Rozmowa telefoniczna #17,done,2025-12-12T10:02:57.687990,2025-12-12T10:04:23.537697
e7d1c94d,Rozmowa telefoniczna #18,done,2025-12-12T10:02:57.688670,2025-12-12T10:04:25.145762
80522a77,Rozmowa telefoniczna #19,done,2025-12-12T10:02:57.689207,2025-12-12T10:04:25.947103
6082a62f,Rozmowa telefoniczna #20,done,2025-12-12T10:02:57.689853,2025-12-12T10:04:28.546527
458af894,Rozmowa telefoniczna #21,done,2025-12-12T10:02:57.690596,2025-12-12T10:04:30.154135
3bcdeddf,Rozmowa telefoniczna #22,done,2025-12-12T10:02:57.691211,2025-12-12T10:04:30.955369
3b16f332,Rozmowa telefoniczna #23,done,2025-12-12T10:02:57.691755,2025-12-12T10:04:33.555469
c628ff5d,Rozmowa telefoniczna #24,done,2025-12-12T10:02:57.692409,2025-12-12T10:04:35.161778
858d961b,Rozmowa telefoniczna #25,done,2025-12-12T10:02:57.693300,2025-12-12T10:04:35.963750
2bad3155,Rozmowa telefoniczna #26,done,2025-12-12T10:02:57.693992,2025-12-12T10:04:38.564036
71757a5e,Rozmowa telefoniczna #27,done,2025-12-12T10:02:57.694627,2025-12-12T10:04:40.170960
7cf6ca3e,Rozmowa telefoniczna #28,done,2025-12-12T10:02:57.695156,2025-12-12T10:04:40.971926
3f9fddd6,Rozmowa telefoniczna #29,done,2025-12-12T10:02:57.695639,2025-12-12T10:04:43.571995
00343591,Rozmowa telefoniczna #30,done,2025-12-12T10:02:57.696153,2025-12-12T10:04:45.179759
ed02e369,Rozmowa telefoniczna #31,done,2025-12-12T10:02:57.696685,2025-12-12T10:04:45.980119
e9f207ad,Rozmowa telefoniczna #32,done,2025-12-12T10:02:57.697271,2025-12-12T10:04:48.580255
35ee4556,Rozmowa telefoniczna #33,done,2025-12-12T10:02:57.697910,2025-12-12T10:04:50.188759
e953009b,Rozmowa telefoniczna #34,done,2025-12-12T10:02:57.698480,2025-12-12T10:04:50.988677
49038c61,Rozmowa telefoniczna #35,done,2025-12-12T10:02:57.699204,2025-12-12T10:04:53.588192
a49c2d4c,Rozmowa telefoniczna #36,done,2025-12-12T10:02:57.699969,2025-12-12T10:04:55.197274
86cddd90,Rozmowa telefoniczna #37,done,2025-12-12T10:02:57.700765,2025-12-12T10:04:55.997238
812a4c11,Rozmowa telefoniczna #38,done,2025-12-12T10:02:57.701420,2025-12-12T10:04:58.595848
8206fb67,Rozmowa telefoniczna #39,done,2025-12-12T10:02:57.702050,2025-12-12T10:05:00.205950
1f8c2467,Rozmowa telefoniczna #40,done,2025-12-12T10:02:57.702645,2025-12-12T10:05:01.004672
65f692cf,Rozmowa telefoniczna #41,done,2025-12-12T10:02:57.703232,2025-12-12T10:05:03.604606
ad495fd1,Rozmowa telefoniczna #42,done,2025-12-12T10:02:57.703738,2025-12-12T10:05:05.213445
ccdeeb6a,Rozmowa telefoniczna #43,done,2025-12-12T10:02:57.704374,2025-12-12T10:05:06.012234
b2c26055,Rozmowa telefoniczna #44,done,2025-12-12T10:02:57.705319,2025-12-12T10:05:08.613222
04d1a6fb,Rozmowa telefoniczna #45,done,2025-12-12T10:02:57.706425,2025-12-12T10:05:10.222911
0e6dd62f,Rozmowa telefoniczna #46,done,2025-12-12T10:02:57.707415,2025-12-12T10:05:11.020941
711d8ddb,Rozmowa telefoniczna #47,done,2025-12-12T10:02:57.708321,2025-12-12T10:05:13.621878
7e2f2c57,Rozmowa telefoniczna #48,done,2025-12-12T10:02:57.709119,2025-12-12T10:05:15.230781
46f7b992,Rozmowa telefoniczna #49,done,2025-12-12T10:02:57.709809,2025-12-12T10:05:16.029756
5f28acd9,Rozmowa telefoniczna #50,done,2025-12-12T10:02:57.710590,2025-12-12T10:05:18.630727
90a86057,Rozmowa telefoniczna #51,done,2025-12-12T10:02:57.711184,2025-12-12T10:05:20.238503
c8bfa5fb,Rozmowa telefoniczna #52,done,2025-12-12T10:02:57.711793,2025-12-12T10:05:21.037921
0bbdb245,Rozmowa telefoniczna #53,done,2025-12-12T10:02:57.712650,2025-12-12T10:05:23.646147
8426d787,Rozmowa telefoniczna #54,done,2025-12-12T10:02:57.713471,2025-12-12T10:05:25.247843
4c8377f4,Rozmowa telefoniczna #55,done,2025-12-12T10:02:57.714188,2025-12-12T10:05:26.046321
45369c7d,Rozmowa telefoniczna #56,done,2025-12-12T10:02:57.714852,2025-12-12T10:05:28.655764
c8951204,Rozmowa telefoniczna #57,done,2025-12-12T10:02:57.715462,2025-12-12T10:05:30.256534
dc001b58,Rozmowa telefoniczna #58,done,2025-12-12T10:02:57.716111,2025-12-12T10:05:31.054952
1579b386,Rozmowa telefoniczna #59,done,2025-12-12T10:02:57.716796,2025-12-12T10:05:33.664896
0878756d,Rozmowa telefoniczna #60,done,2025-12-12T10:02:57.717451,2025-12-12T10:05:35.265385
f1dc4ff6,Rozmowa telefoniczna #61,done,2025-12-12T10:02:57.718068,2025-12-12T10:05:36.062964
f8d65863,Rozmowa telefoniczna #62,done,2025-12-12T10:02:57.718615,2025-12-12T10:05:38.673264
9d2361c0,Rozmowa telefoniczna #63,done,2025-12-12T10:02:57.719194,2025-12-12T10:05:40.274531
88ab0bc9,Rozmowa telefoniczna #64,done,2025-12-12T10:02:57.720067,2025-12-12T10:05:41.071898
f97042a6,Rozmowa telefoniczna #65,done,2025-12-12T10:02:57.721161,2025-12-12T10:05:43.683217
a89cdc63,Rozmowa telefoniczna #66,done,2025-12-12T10:02:57.722195,2025-12-12T10:05:45.283559
8b072d91,Rozmowa telefoniczna #67,done,2025-12-12T10:02:57.722958,2025-12-12T10:05:46.082658
7f13c5fc,Rozmowa telefoniczna #68,done,2025-12-12T10:02:57.723932,2025-12-12T10:05:48.692526
d45fda41,Rozmowa telefoniczna #69,done,2025-12-12T10:02:57.724576,2025-12-12T10:05:50.292190
52a1a810,Rozmowa telefoniczna #70,done,2025-12-12T10:02:57.725247,2025-12-12T10:05:51.091868
66b8ff01,Rozmowa telefoniczna #71,done,2025-12-12T10:02:57.725799,2025-12-12T10:05:53.700500
656b9dcc,Rozmowa telefoniczna #72,done,2025-12-12T10:02:57.726274,2025-12-12T10:05:55.300434
78eb5c10,Rozmowa telefoniczna #73,done,2025-12-12T10:02:57.727056,2025-12-12T10:05:56.099705
a0bfd0e0,Rozmowa telefoniczna #74,done,2025-12-12T10:02:57.727867,2025-12-12T10:05:58.709499
682309cb,Rozmowa telefoniczna #75,done,2025-12-12T10:02:57.728639,2025-12-12T10:06:00.307699
54abb82f,Rozmowa telefoniczna #76,done,2025-12-12T10:02:57.729236,2025-12-12T10:06:01.108580
2f800ec2,Rozmowa telefoniczna #77,done,2025-12-12T10:02:57.729986,2025-12-12T10:06:03.718097
6e1ed264,Rozmowa telefoniczna #78,done,2025-12-12T10:02:57.730689,2025-12-12T10:06:05.315564
e108617b,Rozmowa telefoniczna #79,done,2025-12-12T10:02:57.731319,2025-12-12T10:06:06.116101
8a906616,Rozmowa telefoniczna #80,done,2025-12-12T10:02:57.731985,2025-12-12T10:06:08.725840
8a17491a,Rozmowa telefoniczna #81,done,2025-12-12T10:02:57.732561,2025-12-12T10:06:10.323496
49fc9fc9,Rozmowa telefoniczna #82,done,2025-12-12T10:02:57.733375,2025-12-12T10:06:11.123687
b61f64ba,Rozmowa telefoniczna #83,done,2025-12-12T10:02:57.734129,2025-12-12T10:06:13.734270
e39c6eff,Rozmowa telefoniczna #84,done,2025-12-12T10:02:57.735059,2025-12-12T10:06:15.331667
8ec4f55e,Rozmowa telefoniczna #85,done,2025-12-12T10:02:57.735991,2025-12-12T10:06:16.132674
f1ee7399,Rozmowa telefoniczna #86,done,2025-12-12T10:02:57.736756,2025-12-12T10:06:18.743572
79adbfee,Rozmowa telefoniczna #87,done,2025-12-12T10:02:57.737524,2025-12-12T10:06:20.339667
06d4781e,Rozmowa telefoniczna #88,done,2025-12-12T10:02:57.738515,2025-12-12T10:06:21.141376
46e01b60,Rozmowa telefoniczna #89,done,2025-12-12T10:02:57.739331,2025-12-12T10:06:23.758297
d6506b5c,Rozmowa telefoniczna #90,done,2025-12-12T10:02:57.740358,2025-12-12T10:06:25.348647
22251a98,Rozmowa telefoniczna #91,done,2025-12-12T10:02:57.741107,2025-12-12T10:06:26.151992
ea6f6437,Rozmowa telefoniczna #92,done,2025-12-12T10:02:57.741891,2025-12-12T10:06:28.768731
d95ea36c,Rozmowa telefoniczna #93,done,2025-12-12T10:02:57.742482,2025-12-12T10:06:30.359022
c4cd030e,Rozmowa telefoniczna #94,done,2025-12-12T10:02:57.743211,2025-12-12T10:06:31.160851
5ae04720,Rozmowa telefoniczna #95,done,2025-12-12T10:02:57.743906,2025-12-12T10:06:33.782353
3f055265,Rozmowa telefoniczna #96,done,2025-12-12T10:02:57.744590,2025-12-12T10:06:35.368653
e47fdb0f,Rozmowa telefoniczna #97,done,2025-12-12T10:02:57.745267,2025-12-12T10:06:36.171142
30e85d18,Rozmowa telefoniczna #98,done,2025-12-12T10:02:57.745831,2025-12-12T10:06:38.789388
69365b04,Rozmowa telefoniczna #99,done,2025-12-12T10:02:57.746458,2025-12-12T10:06:40.376776
38ed80c9,Rozmowa telefoniczna #100,done,2025-12-12T10:02:57.747080,2025-12-12T10:06:41.179449
